ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Station Phone,Status Code,Groups With Access Code,Access Days Time,Cards Accepted,EV Level2 EVSE Num,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Open Date,Location
33087,e85,City of Chicago FS#9,25 W 65th St,65th and State,chicago,il,60621,,e,Private - Government only,,,,,,200-8,41.776439,-87.625954,2024-11-06,2025-02-11 18:16:32+00:00,LG,2010-03-15,"(41.776439, -87.625954)"
52232,e85,Speedway #1020,10950 Broadway,,crown point,in,46307,219-663-4285,e,Public,24 hours daily,A Cash D M V Voyager Wright_Exp,,,,200-8,41.41964,-87.336,2024-10-11,2025-02-11 18:16:32+00:00,P,2013-06-15,"(41.41964, -87.336)"
97054,e85,Family Express - Highland,8910 Indianapolis Blvd,,highland,in,46322,219-838-1885,e,Public,24 hours daily,A Cash D M V,,,,200-9,41.551728,-87.471728,2024-10-11,2025-02-11 18:16:32+00:00,P,2019-03-15,"(41.551728, -87.471728)"
150824,elec,MOTORWERKS1475 STATION 8,1475 Barrington Rd,,barrington,il,60010,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,42.129088,-88.135725,2025-05-10,2025-05-09 20:42:33+00:00,,2019-12-28,"(42.129088, -88.135725)"
170734,elec,PEOPLES GAS PETC 2,4228 W 35th Pl PETC,,chicago,il,60632,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,41.831297,-87.73148,2025-05-10,2025-05-09 21:03:34+00:00,,2021-01-01,"(41.831297, -87.73148)"
346893,elec,Kunes Country Cadillac,1231 East Geneva St,,delavan,wi,53115,866-816-7584,e,Public,24 hours daily,,,EV Connect,https://www.evconnect.com,GPS,42.62824,-88.62736,2025-05-10,2025-05-09 23:26:58+00:00,,2024-05-26,"(42.62824, -88.62736)"
349990,elec,2705 Diehl Rd,2705 Diehl Rd,,aurora,il,60502,866-816-7584,e,Public,24 hours daily,,1.0,EV Connect,https://www.evconnect.com,GPS,41.798022,-88.247492,2025-05-10,2025-05-09 23:29:05+00:00,,2024-07-04,"(41.798022, -88.247492)"
163424,elec,BUCK MANAGEMENT LEVEL 1 NORTH,845 W Madison St,,chicago,il,60607,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,41.880735,-87.648861,2025-05-10,2025-05-09 20:51:25+00:00,,2020-06-17,"(41.880735, -87.648861)"
194140,elec,TARGET T1168 STATION 1,2099 Skokie Valley Rd,Target Parking Lot,highland park,il,60035,888-758-4389,e,Public,Mon 7:00am - 12:00am; Tue 7:00am - 12:00am; Wed 7:00am - 12:00am; Thu 7:00am - 12:00am; Fri 7:00am - 12:00am; Sat 7:00am - 12:00am; Sun 7:00am - 12:00am,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,42.19139,-87.826329,2025-05-10,2025-05-09 21:15:03+00:00,,2021-08-20,"(42.19139, -87.826329)"
40343,e85,Thorntons #309,28937 W Illinois Route 120,,lakemoor,il,60051,815-344-1502,e,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,200-8,42.32785,-88.1976,2024-10-11,2025-02-11 18:16:32+00:00,P,2010-09-15,"(42.32785, -88.1976)"
297418,bd,Casey's,2040 E Division St,,diamond,il,60416,815-634-8655,e,Public,3am-10pm daily,A Cash D Debit M V,,,,200-8,41.2886,-88.25598,2024-04-14,2025-02-11 18:16:32+00:00,P,2023-06-27,"(41.2886, -88.25598)"
357658,elec,KANE COUNTY KANE KDOT,41W011 Burlington Road,,campton hills,il,60175,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,41.957036,-88.415279,2025-05-10,2025-05-09 22:21:36+00:00,,2024-10-08,"(41.957036, -88.415279)"
212617,elec,ADV AURORA AMCMP-ED-03,13250 Washington Ave,Emergency room parking lot,mount pleasant,wi,53177,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,42.726622,-87.946354,2025-05-10,2025-05-09 21:27:36+00:00,,2022-03-24,"(42.726622, -87.946354)"
347678,elec,Fletcher Jones Audi,1523 W. North Ave,,chicago,il,60642,888-998-2546,t,TEMPORARILY UNAVAILABLE (Public),Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,1.0,Blink Network,https://blinkcharging.com,GPS,41.910429,-87.665696,2025-05-10,2025-05-09 19:12:09+00:00,,2024-06-14,"(41.910429, -87.665696)"
328883,elec,Target - Tesla Supercharger,2701 Plainfield Rd,,joliet,il,60435,877-798-3752,e,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,Tesla,https://www.tesla.com/supercharger,GPS,41.576166,-88.153745,2024-07-01,2025-02-11 18:16:32+00:00,P,2024-02-20,"(41.576166, -88.153745)"
182627,elec,VILLAGE STATION VILLAGE HALL 2,5201 Oakton St,Skokie Village Hall parking lot (South End),skokie,il,60077,888-758-4389,e,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,42.025525,-87.7566,2025-05-10,2025-05-09 20:13:41+00:00,,2021-01-27,"(42.025525, -87.7566)"
297638,bd,Casey's,580 E VETERANS PKWY,,yorkville,il,60560,309-249-8970,e,Public,5am-10pm daily,A Cash D Debit M V,,,,200-8,41.65675,-88.43283,2024-04-14,2025-02-11 18:16:32+00:00,P,2023-06-27,"(41.65675, -88.43283)"
372726,elec,"Thorntons, Harlem Ave, IL",5900 S HARLEM AVE,,summit,il,60501,1-833-277-8573,e,Public,24 hours daily,,,BP_PULSE,https://www.bp.com/en_us/united-states/home/what-we-do/customers-and-products/bp-pulse/bp-pulse-products.html,GPS,41.784194,-87.80199,2025-05-10,2025-05-10 00:13:45+00:00,,2024-12-10,"(41.784194, -87.80199)"
309384,elec,530208  University of Chicago Booth School of Business - Gleacher Center,450 North Cityfront Plaza Drive,,chicago,il,60611,888-998-2546,e,Public,24 hours daily,,4.0,Blink Network,https://blinkcharging.com,GPS,41.8896871,-87.6222251,2025-05-10,2025-05-09 19:12:45+00:00,,2020-12-09,"(41.8896871, -87.6222251)"
153801,elec,Walgreens at 1303 Wehrli Rd Naperville,1303 Wehrli Rd,,naperville,il,60565,855-900-7584,e,Public,Mon 7:00am - 10:00pm; Tue 7:00am - 10:00pm; Wed 7:00am - 10:00pm; Thu 7:00am - 10:00pm; Fri 7:00am - 10:00pm; Sat 8:00am - 10:00pm; Sun 8:00am - 10:00pm,,2.0,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,41.748634,-88.103853,2025-05-10,2025-05-09 23:04:25+00:00,,2020-02-14,"(41.748634, -88.103853)"
212188,bd,Casey's General Store,14808 S Route 59,,plainfield,il,60544,815-436-8322,e,Public,6am-10pm daily,A Cash D Debit M V,,,,200-9,41.613336,-88.202753,2024-04-14,2025-02-11 18:16:32+00:00,P,2021-11-19,"(41.613336, -88.202753)"
320624,cng,IL Melrose Park Hauling (Chicago Central HC),4612 w Lake st,,melrose park,il,60160,,e,Private,Contact station for fueling access,,,,,200-8,41.8977,-87.88834,2023-12-13,2024-08-27 13:49:17+00:00,P,2023-11-24,"(41.8977, -87.88834)"
88768,e85,Thorntons #18,601 S Harlem Ave,,forest park,il,60130,708-366-1213,e,Public,24 hours daily,A Cash D Debit M V,,,,200-9,41.875666,-87.804942,2024-10-11,2025-02-11 18:16:32+00:00,P,2017-12-15,"(41.875666, -87.804942)"
302297,elec,ROSEN GROUP IL PARKING LOT2,771 S Randall Rd.,,algonquin,il,60102,888-758-4389,e,Public,24 hours daily,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.163427,-88.334318,2025-05-10,2025-05-09 21:53:52+00:00,,2023-07-11,"(42.163427, -88.334318)"
49307,e85,Thorntons #19,1118 W Touhy Ave,,park ridge,il,60068,847-692-5559,e,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,200-9,42.01102,-87.839857,2024-10-11,2025-02-11 18:16:32+00:00,P,2016-12-15,"(42.01102, -87.839857)"
391408,elec,EV PILOT CT4025 S2,656 West Winchester Road,,libertyville,il,60048,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,42.298329,-87.963529,2025-05-10,2025-05-09 22:31:25+00:00,,2025-04-30,"(42.298329, -87.963529)"
236273,elec,The Lighthouse Church of All Nations,4501 W. 127th St.,,alsip,il,60803,888-998-2546,t,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,4.0,Blink Network,https://blinkcharging.com,GPS,41.6581629,-87.7309289,2025-05-10,2025-05-09 19:30:02+00:00,,2021-07-28,"(41.6581629, -87.7309289)"
230443,elec,Union West,939 W Washington Blvd,,chicago,il,60607,833-692-6787,e,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,3.0,AMPUP,https://ampup.io,200-9,41.882764,-87.651188,2022-10-11,2023-02-14 09:54:11+00:00,P,2022-09-15,"(41.882764, -87.651188)"
173548,elec,UNITED ORD LOT UNITED 3,5600 Bessie Coleman Dr,,chicago,il,60666,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,41.981407,-87.888652,2025-05-10,2025-05-09 20:25:27+00:00,,2021-01-27,"(41.981407, -87.888652)"
46837,elec,Nissan of St Charles,2535 E Main St,,st. charles,il,60174,630-584-3900,e,Public - Call ahead,Dealership business hours,,1.0,Non-Networked,,200-9,41.920486,-88.284011,2024-02-12,2025-02-11 18:16:32+00:00,P,2012-01-31,"(41.920486, -88.284011)"
316715,elec,218 MADISON PDOP NORTH,218 Madison Street,The station is on the west side of the building and the parking lot entrance is accessible from Harvey Ave.,oak park,il,60302,888-758-4389,e,Public,24 hours daily,,2.0,ChargePoint Network,https://www.chargepoint.com,GPS,41.880274,-87.780877,2025-05-10,2025-05-09 22:00:41+00:00,,2023-11-04,"(41.880274, -87.780877)"
354648,elec,12950 E. US Rte. 34,12950 E. US Rte. 34,,plano,il,60545,866-816-7584,e,Public,24 hours daily,,,EV Connect,https://www.evconnect.com,GPS,41.66219,-88.505214,2025-05-10,2025-05-09 23:29:26+00:00,,2024-08-30,"(41.66219, -88.505214)"
376415,elec,Westbrook Corporate Center,2 Westbrook Corporate Center,,westchester,il,60154,949-945-2000,e,Public,24 hours daily,,4.0,EVGATEWAY,https://evgateway.com,GPS,41.8461556,-87.9069221,2025-05-10,2025-05-10 00:39:26+00:00,,2025-01-28,"(41.8461556, -87.9069221)"
117144,elec,Taylor Street Library and Apartments,1342 W Taylor St,,chicago,il,60607,888-998-2546,t,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,1.0,Blink Network,https://blinkcharging.com,GPS,41.8698,-87.6605,2025-05-10,2025-05-09 19:44:42+00:00,,2019-01-18,"(41.8698, -87.6605)"
346401,elec,ROSEN GROUP CPE250 ST 1,789 S Randall Rd,In between service drop off and Front door,algonquin,il,60102,888-758-4389,e,Public,24 hours daily,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.162139,-88.334203,2025-05-10,2025-05-09 22:08:29+00:00,,2024-05-17,"(42.162139, -88.334203)"
